標題,問題,回答,主題分類,主題分類_字串,主題數量,回答內容摘要,醫生名稱,回答時間,對應子問題,主題判斷
#92663 糖尿病的藥物以及B群,"醫生您好，
父親57歲數，糖尿病確診約兩年多，目前正在服用以下三種藥物:

1.高糖優適 500mg （每日2次，早晚飯中各1粒）

2.利控糖 2/500mg （早上飯前1粒，晚上飯前半粒）

3.立普妥 40mg （早上飯後半粒）

最近一次的糖化是7.6%


請問醫生，
1.糖尿病固定回診可以看家醫科的醫生嗎？還是一定要看新陳代謝科呢？

2.請問可以吃b群嗎？不曉得會不會影響藥物？如果可以吃b群的話，放在什麼時候吃比較恰當呢？

謝謝醫生！",請洽詢專業醫療人員,"['用藥', '生活管理']","用藥, 生活管理",5,糖尿病治療需結合飲食、運動、藥物及生活型態改變，現有藥物適合治療糖尿病及高血脂，維生素B群服用無禁忌。,蕭永薰,2015/12/29,糖尿病患者是否可以選擇家醫科進行固定回診？服用糖尿病相關藥物時，是否可以安全地補充b群？如果可以，最佳服用時間為何？,請洽詢專業醫療人員
#92663 糖尿病的藥物以及B群,"醫生您好，
父親57歲數，糖尿病確診約兩年多，目前正在服用以下三種藥物:

1.高糖優適 500mg （每日2次，早晚飯中各1粒）

2.利控糖 2/500mg （早上飯前1粒，晚上飯前半粒）

3.立普妥 40mg （早上飯後半粒）

最近一次的糖化是7.6%


請問醫生，
1.糖尿病固定回診可以看家醫科的醫生嗎？還是一定要看新陳代謝科呢？

2.請問可以吃b群嗎？不曉得會不會影響藥物？如果可以吃b群的話，放在什麼時候吃比較恰當呢？

謝謝醫生！",請洽詢專業醫療人員,"['用藥', '生活管理']","用藥, 生活管理",5,糖尿病治療需結合飲食、運動、藥物及生活型態改變，現有藥物適合治療糖尿病及高血脂，維生素B群服用無禁忌。,蕭永薰,2015/12/29,糖尿病患者是否可以固定回診家醫科？服用糖尿病藥物期間是否可以補充B群？若可以，最佳服用時間為何？,請洽詢專業醫療人員
#107946 關於糖尿病 和 體重減輕,"蕭醫生 您好:
去年健檢報告 空腹血糖超標(101 > 100)、糖化血色素(5.7 < 6.7) ， 前年(85 < 100)、糖化血色素(5.4 < 6.7)
怕一年一次健檢太久，所以五月底買了瑞特(GM700S)血糖機作計錄。

沒有特別服用藥物，有時肌肉酸痛會噴肌樂或撒隆巴斯

6月份的紀錄
19筆資料
早上空腹 平均是83mg/dl，最高值90mg/dl
晚上飯前 平均是90mg/dl，最高值101mg/dl
晚餐飯後0.5小時 平均是146mg/dl，最高值187mg/dl
晚餐飯後1 小時 平均是150mg/dl，最高值188mg/dl
晚餐飯後1.5小時 平均是131mg/dl，最高值160mg/dl
晚餐飯後2 小時 平均118mg/dl，最高值142mg/dl

身高168 體重(高中畢業時體重42kg 大學畢業55kg 進公司之後因為坐辦公室沒在動今年年初62kg 三月左右開始體重62kg -> 到現在54kg)
今年3月開始戒掉所有含糖飲料和宵夜 且些微減少正餐中的澱粉類食物(白飯和麵條等主食還是照吃)，每個禮拜2~3天跑步，
以前幾乎每天會喝下午茶(700cc含糖飲料)，或罐裝碳酸飲料，2天左右會吃消夜(以小籠包或泡麵或7-11的麵類為主)

問題一: 飯後2H(3次超過或接近140)，2H內(最大值3次超過180,和2H>=140非同日)，想請您這是否有可能是糖尿病危險邊緣，或初期，(是否飯後2小時一定要低於140)

問題二: 2H內最大值有沒有標準。

問題三: 是否有飯後2H < 126mg/dl 比較好的說法?

問題四: 改變飲食習慣造有可能造成這麼多的體重減輕嗎? (平均每個月降2kg)因為降的有點多，有點擔心","根據美國糖尿病醫學會關於糖尿病的診斷標準為：
a.空腹8小時以上的血漿血糖值≥126mg/dl,
b.口服葡萄糖耐量試驗2小時血漿血糖值≥200mg/dl,
c.HBA1c（醣化血色素）≥6.5%
(必須沒有不相稱的高血糖且檢驗方法必須合乎國際認證NGSP與DCCT化驗標準),以上a,b,c情況必須有兩次檢查合乎標準.根據美國糖尿病醫學會關於糖尿病的診斷標準為：
a.空腹8小時以上的血漿血糖值≥126mg/dl,
b.口服葡萄糖耐量試驗2小時血漿血糖值≥200mg/dl,
c.HBA1c（醣化血色素）≥6.5%
(必須沒有不相稱的高血糖且檢驗方法必須合乎國際認證NGSP與DCCT化驗標準),以上a,b,c情況必須有兩次檢查合乎標準.

d.臨床上有糖尿病症狀(多喝,多尿,多吃,體重減輕等),同時任意血漿血糖值≥200mg/dl.(這個情況只要一次即可).","['血糖管理', '飲食']","血糖管理, 飲食",4,糖尿病診斷需依血糖值及症狀判斷，飯後血糖值超過180mg/dl有糖尿病風險，建議進行葡萄糖耐受試驗並調整飲食與生活習慣。,蕭永薰,2016/6/27,糖尿病的診斷標準有哪些？,糖尿病類型
#107946 關於糖尿病 和 體重減輕,"蕭醫生 您好:
去年健檢報告 空腹血糖超標(101 > 100)、糖化血色素(5.7 < 6.7) ， 前年(85 < 100)、糖化血色素(5.4 < 6.7)
怕一年一次健檢太久，所以五月底買了瑞特(GM700S)血糖機作計錄。

沒有特別服用藥物，有時肌肉酸痛會噴肌樂或撒隆巴斯

6月份的紀錄
19筆資料
早上空腹 平均是83mg/dl，最高值90mg/dl
晚上飯前 平均是90mg/dl，最高值101mg/dl
晚餐飯後0.5小時 平均是146mg/dl，最高值187mg/dl
晚餐飯後1 小時 平均是150mg/dl，最高值188mg/dl
晚餐飯後1.5小時 平均是131mg/dl，最高值160mg/dl
晚餐飯後2 小時 平均118mg/dl，最高值142mg/dl

身高168 體重(高中畢業時體重42kg 大學畢業55kg 進公司之後因為坐辦公室沒在動今年年初62kg 三月左右開始體重62kg -> 到現在54kg)
今年3月開始戒掉所有含糖飲料和宵夜 且些微減少正餐中的澱粉類食物(白飯和麵條等主食還是照吃)，每個禮拜2~3天跑步，
以前幾乎每天會喝下午茶(700cc含糖飲料)，或罐裝碳酸飲料，2天左右會吃消夜(以小籠包或泡麵或7-11的麵類為主)

問題一: 飯後2H(3次超過或接近140)，2H內(最大值3次超過180,和2H>=140非同日)，想請您這是否有可能是糖尿病危險邊緣，或初期，(是否飯後2小時一定要低於140)

問題二: 2H內最大值有沒有標準。

問題三: 是否有飯後2H < 126mg/dl 比較好的說法?

問題四: 改變飲食習慣造有可能造成這麼多的體重減輕嗎? (平均每個月降2kg)因為降的有點多，有點擔心","一般而言,吃飯後血糖會逐漸上升,在飯後兩小時達到最高峰,然後逐漸下降.","['血糖管理', '飲食']","血糖管理, 飲食",4,糖尿病診斷需依血糖值及症狀判斷，飯後血糖值超過180mg/dl有糖尿病風險，建議進行葡萄糖耐受試驗並調整飲食與生活習慣。,蕭永薰,2016/6/27,飯後血糖達到最高峰的時間是否因人而異？,血糖管理
#107946 關於糖尿病 和 體重減輕,"蕭醫生 您好:
去年健檢報告 空腹血糖超標(101 > 100)、糖化血色素(5.7 < 6.7) ， 前年(85 < 100)、糖化血色素(5.4 < 6.7)
怕一年一次健檢太久，所以五月底買了瑞特(GM700S)血糖機作計錄。

沒有特別服用藥物，有時肌肉酸痛會噴肌樂或撒隆巴斯

6月份的紀錄
19筆資料
早上空腹 平均是83mg/dl，最高值90mg/dl
晚上飯前 平均是90mg/dl，最高值101mg/dl
晚餐飯後0.5小時 平均是146mg/dl，最高值187mg/dl
晚餐飯後1 小時 平均是150mg/dl，最高值188mg/dl
晚餐飯後1.5小時 平均是131mg/dl，最高值160mg/dl
晚餐飯後2 小時 平均118mg/dl，最高值142mg/dl

身高168 體重(高中畢業時體重42kg 大學畢業55kg 進公司之後因為坐辦公室沒在動今年年初62kg 三月左右開始體重62kg -> 到現在54kg)
今年3月開始戒掉所有含糖飲料和宵夜 且些微減少正餐中的澱粉類食物(白飯和麵條等主食還是照吃)，每個禮拜2~3天跑步，
以前幾乎每天會喝下午茶(700cc含糖飲料)，或罐裝碳酸飲料，2天左右會吃消夜(以小籠包或泡麵或7-11的麵類為主)

問題一: 飯後2H(3次超過或接近140)，2H內(最大值3次超過180,和2H>=140非同日)，想請您這是否有可能是糖尿病危險邊緣，或初期，(是否飯後2小時一定要低於140)

問題二: 2H內最大值有沒有標準。

問題三: 是否有飯後2H < 126mg/dl 比較好的說法?

問題四: 改變飲食習慣造有可能造成這麼多的體重減輕嗎? (平均每個月降2kg)因為降的有點多，有點擔心","如果攝食高糖或高熱量的食物,而且體內胰島素分泌足夠,血糖值有可能急速上升;甚至在飯後一小時達到最高峰,再逐漸下降.","['血糖管理', '飲食']","血糖管理, 飲食",4,糖尿病診斷需依血糖值及症狀判斷，飯後血糖值超過180mg/dl有糖尿病風險，建議進行葡萄糖耐受試驗並調整飲食與生活習慣。,蕭永薰,2016/6/27,飯後血糖最高峰通常出現在什麼時間？如何避免血糖急速上升？,血糖管理
#107946 關於糖尿病 和 體重減輕,"蕭醫生 您好:
去年健檢報告 空腹血糖超標(101 > 100)、糖化血色素(5.7 < 6.7) ， 前年(85 < 100)、糖化血色素(5.4 < 6.7)
怕一年一次健檢太久，所以五月底買了瑞特(GM700S)血糖機作計錄。

沒有特別服用藥物，有時肌肉酸痛會噴肌樂或撒隆巴斯

6月份的紀錄
19筆資料
早上空腹 平均是83mg/dl，最高值90mg/dl
晚上飯前 平均是90mg/dl，最高值101mg/dl
晚餐飯後0.5小時 平均是146mg/dl，最高值187mg/dl
晚餐飯後1 小時 平均是150mg/dl，最高值188mg/dl
晚餐飯後1.5小時 平均是131mg/dl，最高值160mg/dl
晚餐飯後2 小時 平均118mg/dl，最高值142mg/dl

身高168 體重(高中畢業時體重42kg 大學畢業55kg 進公司之後因為坐辦公室沒在動今年年初62kg 三月左右開始體重62kg -> 到現在54kg)
今年3月開始戒掉所有含糖飲料和宵夜 且些微減少正餐中的澱粉類食物(白飯和麵條等主食還是照吃)，每個禮拜2~3天跑步，
以前幾乎每天會喝下午茶(700cc含糖飲料)，或罐裝碳酸飲料，2天左右會吃消夜(以小籠包或泡麵或7-11的麵類為主)

問題一: 飯後2H(3次超過或接近140)，2H內(最大值3次超過180,和2H>=140非同日)，想請您這是否有可能是糖尿病危險邊緣，或初期，(是否飯後2小時一定要低於140)

問題二: 2H內最大值有沒有標準。

問題三: 是否有飯後2H < 126mg/dl 比較好的說法?

問題四: 改變飲食習慣造有可能造成這麼多的體重減輕嗎? (平均每個月降2kg)因為降的有點多，有點擔心","所謂的飯後兩小時,是指開始進食算起的兩小時.醫學上,為了治療或討論的方便,幾乎多用飯後兩小時血糖值為準.","['血糖管理', '飲食']","血糖管理, 飲食",4,糖尿病診斷需依血糖值及症狀判斷，飯後血糖值超過180mg/dl有糖尿病風險，建議進行葡萄糖耐受試驗並調整飲食與生活習慣。,蕭永薰,2016/6/27,飯後兩小時血糖值為什麼是醫學上討論糖尿病的重要指標？,血糖管理
#107946 關於糖尿病 和 體重減輕,"蕭醫生 您好:
去年健檢報告 空腹血糖超標(101 > 100)、糖化血色素(5.7 < 6.7) ， 前年(85 < 100)、糖化血色素(5.4 < 6.7)
怕一年一次健檢太久，所以五月底買了瑞特(GM700S)血糖機作計錄。

沒有特別服用藥物，有時肌肉酸痛會噴肌樂或撒隆巴斯

6月份的紀錄
19筆資料
早上空腹 平均是83mg/dl，最高值90mg/dl
晚上飯前 平均是90mg/dl，最高值101mg/dl
晚餐飯後0.5小時 平均是146mg/dl，最高值187mg/dl
晚餐飯後1 小時 平均是150mg/dl，最高值188mg/dl
晚餐飯後1.5小時 平均是131mg/dl，最高值160mg/dl
晚餐飯後2 小時 平均118mg/dl，最高值142mg/dl

身高168 體重(高中畢業時體重42kg 大學畢業55kg 進公司之後因為坐辦公室沒在動今年年初62kg 三月左右開始體重62kg -> 到現在54kg)
今年3月開始戒掉所有含糖飲料和宵夜 且些微減少正餐中的澱粉類食物(白飯和麵條等主食還是照吃)，每個禮拜2~3天跑步，
以前幾乎每天會喝下午茶(700cc含糖飲料)，或罐裝碳酸飲料，2天左右會吃消夜(以小籠包或泡麵或7-11的麵類為主)

問題一: 飯後2H(3次超過或接近140)，2H內(最大值3次超過180,和2H>=140非同日)，想請您這是否有可能是糖尿病危險邊緣，或初期，(是否飯後2小時一定要低於140)

問題二: 2H內最大值有沒有標準。

問題三: 是否有飯後2H < 126mg/dl 比較好的說法?

問題四: 改變飲食習慣造有可能造成這麼多的體重減輕嗎? (平均每個月降2kg)因為降的有點多，有點擔心","正常人的飯後血漿血糖值在140mg/dl以下,而葡萄糖耐受不良的人,飯後血漿血糖值介於140~180mg/dl之間.如果飯後血漿血糖值大於180mg/dl,就要考慮糖尿病的風險.","['血糖管理', '飲食']","血糖管理, 飲食",4,糖尿病診斷需依血糖值及症狀判斷，飯後血糖值超過180mg/dl有糖尿病風險，建議進行葡萄糖耐受試驗並調整飲食與生活習慣。,蕭永薰,2016/6/27,飯後血糖值超過180mg/dl是否一定代表糖尿病？如何降低飯後血糖值？,血糖管理
#107946 關於糖尿病 和 體重減輕,"蕭醫生 您好:
去年健檢報告 空腹血糖超標(101 > 100)、糖化血色素(5.7 < 6.7) ， 前年(85 < 100)、糖化血色素(5.4 < 6.7)
怕一年一次健檢太久，所以五月底買了瑞特(GM700S)血糖機作計錄。

沒有特別服用藥物，有時肌肉酸痛會噴肌樂或撒隆巴斯

6月份的紀錄
19筆資料
早上空腹 平均是83mg/dl，最高值90mg/dl
晚上飯前 平均是90mg/dl，最高值101mg/dl
晚餐飯後0.5小時 平均是146mg/dl，最高值187mg/dl
晚餐飯後1 小時 平均是150mg/dl，最高值188mg/dl
晚餐飯後1.5小時 平均是131mg/dl，最高值160mg/dl
晚餐飯後2 小時 平均118mg/dl，最高值142mg/dl

身高168 體重(高中畢業時體重42kg 大學畢業55kg 進公司之後因為坐辦公室沒在動今年年初62kg 三月左右開始體重62kg -> 到現在54kg)
今年3月開始戒掉所有含糖飲料和宵夜 且些微減少正餐中的澱粉類食物(白飯和麵條等主食還是照吃)，每個禮拜2~3天跑步，
以前幾乎每天會喝下午茶(700cc含糖飲料)，或罐裝碳酸飲料，2天左右會吃消夜(以小籠包或泡麵或7-11的麵類為主)

問題一: 飯後2H(3次超過或接近140)，2H內(最大值3次超過180,和2H>=140非同日)，想請您這是否有可能是糖尿病危險邊緣，或初期，(是否飯後2小時一定要低於140)

問題二: 2H內最大值有沒有標準。

問題三: 是否有飯後2H < 126mg/dl 比較好的說法?

問題四: 改變飲食習慣造有可能造成這麼多的體重減輕嗎? (平均每個月降2kg)因為降的有點多，有點擔心","因為每次進食的量不同,飯後兩小時的血糖值也一定會有變動.所以標準做法應該是要到醫院進行葡萄糖耐受試驗,有就是空腹八小時後,測量血糖值,然後口服75公克葡萄糖泡成的糖水,再測量血糖值.臨床上,就是這樣來做較精確的診斷.當然,平時在宅也可以自行驗飯後血糖,適當地調整飲食的內容,對於血糖的控制也會有所幫助的.","['血糖管理', '飲食']","血糖管理, 飲食",4,糖尿病診斷需依血糖值及症狀判斷，飯後血糖值超過180mg/dl有糖尿病風險，建議進行葡萄糖耐受試驗並調整飲食與生活習慣。,蕭永薰,2016/6/27,如何進行葡萄糖耐受試驗來診斷血糖問題？在家測量飯後血糖時，如何根據結果調整飲食內容以改善血糖控制？,血糖管理
#107946 關於糖尿病 和 體重減輕,"蕭醫生 您好:
去年健檢報告 空腹血糖超標(101 > 100)、糖化血色素(5.7 < 6.7) ， 前年(85 < 100)、糖化血色素(5.4 < 6.7)
怕一年一次健檢太久，所以五月底買了瑞特(GM700S)血糖機作計錄。

沒有特別服用藥物，有時肌肉酸痛會噴肌樂或撒隆巴斯

6月份的紀錄
19筆資料
早上空腹 平均是83mg/dl，最高值90mg/dl
晚上飯前 平均是90mg/dl，最高值101mg/dl
晚餐飯後0.5小時 平均是146mg/dl，最高值187mg/dl
晚餐飯後1 小時 平均是150mg/dl，最高值188mg/dl
晚餐飯後1.5小時 平均是131mg/dl，最高值160mg/dl
晚餐飯後2 小時 平均118mg/dl，最高值142mg/dl

身高168 體重(高中畢業時體重42kg 大學畢業55kg 進公司之後因為坐辦公室沒在動今年年初62kg 三月左右開始體重62kg -> 到現在54kg)
今年3月開始戒掉所有含糖飲料和宵夜 且些微減少正餐中的澱粉類食物(白飯和麵條等主食還是照吃)，每個禮拜2~3天跑步，
以前幾乎每天會喝下午茶(700cc含糖飲料)，或罐裝碳酸飲料，2天左右會吃消夜(以小籠包或泡麵或7-11的麵類為主)

問題一: 飯後2H(3次超過或接近140)，2H內(最大值3次超過180,和2H>=140非同日)，想請您這是否有可能是糖尿病危險邊緣，或初期，(是否飯後2小時一定要低於140)

問題二: 2H內最大值有沒有標準。

問題三: 是否有飯後2H < 126mg/dl 比較好的說法?

問題四: 改變飲食習慣造有可能造成這麼多的體重減輕嗎? (平均每個月降2kg)因為降的有點多，有點擔心","正常人的飯後血漿血糖值在140mg/dl以下,而葡萄糖耐受不良的人,飯後血漿血糖值介於140~180mg/dl之間.如果飯後血漿血糖值大於180mg/dl,就要考慮糖尿病的風險.","['血糖管理', '飲食']","血糖管理, 飲食",4,糖尿病診斷需依血糖值及症狀判斷，飯後血糖值超過180mg/dl有糖尿病風險，建議進行葡萄糖耐受試驗並調整飲食與生活習慣。,蕭永薰,2016/6/27,飯後血糖值超過180mg/dl是否一定代表糖尿病？如何判斷是否屬於葡萄糖耐受不良？,血糖管理
#107946 關於糖尿病 和 體重減輕,"蕭醫生 您好:
去年健檢報告 空腹血糖超標(101 > 100)、糖化血色素(5.7 < 6.7) ， 前年(85 < 100)、糖化血色素(5.4 < 6.7)
怕一年一次健檢太久，所以五月底買了瑞特(GM700S)血糖機作計錄。

沒有特別服用藥物，有時肌肉酸痛會噴肌樂或撒隆巴斯

6月份的紀錄
19筆資料
早上空腹 平均是83mg/dl，最高值90mg/dl
晚上飯前 平均是90mg/dl，最高值101mg/dl
晚餐飯後0.5小時 平均是146mg/dl，最高值187mg/dl
晚餐飯後1 小時 平均是150mg/dl，最高值188mg/dl
晚餐飯後1.5小時 平均是131mg/dl，最高值160mg/dl
晚餐飯後2 小時 平均118mg/dl，最高值142mg/dl

身高168 體重(高中畢業時體重42kg 大學畢業55kg 進公司之後因為坐辦公室沒在動今年年初62kg 三月左右開始體重62kg -> 到現在54kg)
今年3月開始戒掉所有含糖飲料和宵夜 且些微減少正餐中的澱粉類食物(白飯和麵條等主食還是照吃)，每個禮拜2~3天跑步，
以前幾乎每天會喝下午茶(700cc含糖飲料)，或罐裝碳酸飲料，2天左右會吃消夜(以小籠包或泡麵或7-11的麵類為主)

問題一: 飯後2H(3次超過或接近140)，2H內(最大值3次超過180,和2H>=140非同日)，想請您這是否有可能是糖尿病危險邊緣，或初期，(是否飯後2小時一定要低於140)

問題二: 2H內最大值有沒有標準。

問題三: 是否有飯後2H < 126mg/dl 比較好的說法?

問題四: 改變飲食習慣造有可能造成這麼多的體重減輕嗎? (平均每個月降2kg)因為降的有點多，有點擔心","其實不論是減重或預防糖尿病,三餐用餐速度放慢,吃八分飽,避免高糖,高脂與高熱量飲食,多運動,睡眠充足,減少生活壓力;大概就可以有理想的成果了.","['血糖管理', '飲食']","血糖管理, 飲食",4,糖尿病診斷需依血糖值及症狀判斷，飯後血糖值超過180mg/dl有糖尿病風險，建議進行葡萄糖耐受試驗並調整飲食與生活習慣。,蕭永薰,2016/6/27,如何透過飲食調整、運動和生活習慣來預防糖尿病或減重？,預防
#105314 糖尿病用藥請教,"醫師您好，
父親今年63歲，有糖尿病症狀（飯前血糖約 120)，並有服用糖尿病藥物，
由於父親屬於易瘦體質，非肥胖型，飲食茹素，不油膩不菸酒，
初期服用糖尿病藥物，讓他胃口變差，體重下降，外型明顯變得更瘦，
後來改換 - 愛妥糖（半顆/天）食慾恢復，整體有復原
近期 改看住家附近診所，醫生用藥改 安胰敏（ansures） +利糖順（Glubose） 似乎食慾又受到影響，還在觀察
請教醫師：
1. 易瘦體質的糖尿病人，是否要特別知會醫師 以選用適當的藥物？
2. 目前用藥 安胰敏+利糖順 是否適合父親的體質？ 醫師換藥 是因為病情有變 還是有其他考量？
3. 愛妥糖是否適合父親體質使用？
以上
感謝不吝釋疑
Paul Chen",請洽詢專業醫療人員,"['用藥', '生活管理']","用藥, 生活管理",5,第2型糖尿病首選藥物為Metformin，藥物選擇需考量病患體質、症狀及副作用，並與醫師討論；控制糖尿病需結合飲食、運動及生活型態調整。,蕭永薰,2016/5/5,易瘦體質的糖尿病患者是否需要特別告知醫師以選擇適合的藥物？目前用藥安胰敏+利糖順是否適合父親的體質？醫師換藥是否因病情變化或其他考量？愛妥糖是否更適合父親的體質使用？,請洽詢專業醫療人員
#105314 糖尿病用藥請教,"醫師您好，
父親今年63歲，有糖尿病症狀（飯前血糖約 120)，並有服用糖尿病藥物，
由於父親屬於易瘦體質，非肥胖型，飲食茹素，不油膩不菸酒，
初期服用糖尿病藥物，讓他胃口變差，體重下降，外型明顯變得更瘦，
後來改換 - 愛妥糖（半顆/天）食慾恢復，整體有復原
近期 改看住家附近診所，醫生用藥改 安胰敏（ansures） +利糖順（Glubose） 似乎食慾又受到影響，還在觀察
請教醫師：
1. 易瘦體質的糖尿病人，是否要特別知會醫師 以選用適當的藥物？
2. 目前用藥 安胰敏+利糖順 是否適合父親的體質？ 醫師換藥 是因為病情有變 還是有其他考量？
3. 愛妥糖是否適合父親體質使用？
以上
感謝不吝釋疑
Paul Chen",Actos&reg;是一種胰島素受器的敏感劑，可以加強胰島素與受器的反應，有效地降低血糖。但是，常見引起的副作用為體重增加、下肢水腫、鹽分滯留與加重心臟衰竭等等。,"['用藥', '生活管理']","用藥, 生活管理",5,第2型糖尿病首選藥物為Metformin，藥物選擇需考量病患體質、症狀及副作用，並與醫師討論；控制糖尿病需結合飲食、運動及生活型態調整。,蕭永薰,2016/5/5,Actos®的副作用包括哪些，如何避免或減輕這些副作用？,用藥
#105314 糖尿病用藥請教,"醫師您好，
父親今年63歲，有糖尿病症狀（飯前血糖約 120)，並有服用糖尿病藥物，
由於父親屬於易瘦體質，非肥胖型，飲食茹素，不油膩不菸酒，
初期服用糖尿病藥物，讓他胃口變差，體重下降，外型明顯變得更瘦，
後來改換 - 愛妥糖（半顆/天）食慾恢復，整體有復原
近期 改看住家附近診所，醫生用藥改 安胰敏（ansures） +利糖順（Glubose） 似乎食慾又受到影響，還在觀察
請教醫師：
1. 易瘦體質的糖尿病人，是否要特別知會醫師 以選用適當的藥物？
2. 目前用藥 安胰敏+利糖順 是否適合父親的體質？ 醫師換藥 是因為病情有變 還是有其他考量？
3. 愛妥糖是否適合父親體質使用？
以上
感謝不吝釋疑
Paul Chen",Asures&reg;常見的副作用為上腹部不適、腹瀉、肝功能異常、體重減輕〔有時被視為較胖的糖尿病患者的利基〕、維生素B12缺乏等等。,"['用藥', '生活管理']","用藥, 生活管理",5,第2型糖尿病首選藥物為Metformin，藥物選擇需考量病患體質、症狀及副作用，並與醫師討論；控制糖尿病需結合飲食、運動及生活型態調整。,蕭永薰,2016/5/5,Asures®可能導致哪些副作用，例如維生素B12缺乏或肝功能異常，該如何應對？,用藥
#105314 糖尿病用藥請教,"醫師您好，
父親今年63歲，有糖尿病症狀（飯前血糖約 120)，並有服用糖尿病藥物，
由於父親屬於易瘦體質，非肥胖型，飲食茹素，不油膩不菸酒，
初期服用糖尿病藥物，讓他胃口變差，體重下降，外型明顯變得更瘦，
後來改換 - 愛妥糖（半顆/天）食慾恢復，整體有復原
近期 改看住家附近診所，醫生用藥改 安胰敏（ansures） +利糖順（Glubose） 似乎食慾又受到影響，還在觀察
請教醫師：
1. 易瘦體質的糖尿病人，是否要特別知會醫師 以選用適當的藥物？
2. 目前用藥 安胰敏+利糖順 是否適合父親的體質？ 醫師換藥 是因為病情有變 還是有其他考量？
3. 愛妥糖是否適合父親體質使用？
以上
感謝不吝釋疑
Paul Chen",Glubose&reg;會干擾腸道內醣類分解酶的作用與糖分的吸收，導致常內細菌的作用加強；常見的副作用為排氣〔放屁的意思〕、腹瀉、肝功能異常等等。,"['用藥', '生活管理']","用藥, 生活管理",5,第2型糖尿病首選藥物為Metformin，藥物選擇需考量病患體質、症狀及副作用，並與醫師討論；控制糖尿病需結合飲食、運動及生活型態調整。,蕭永薰,2016/5/5,Glubose®的副作用有哪些，為什麼會導致腹瀉和肝功能異常？,用藥
#105314 糖尿病用藥請教,"醫師您好，
父親今年63歲，有糖尿病症狀（飯前血糖約 120)，並有服用糖尿病藥物，
由於父親屬於易瘦體質，非肥胖型，飲食茹素，不油膩不菸酒，
初期服用糖尿病藥物，讓他胃口變差，體重下降，外型明顯變得更瘦，
後來改換 - 愛妥糖（半顆/天）食慾恢復，整體有復原
近期 改看住家附近診所，醫生用藥改 安胰敏（ansures） +利糖順（Glubose） 似乎食慾又受到影響，還在觀察
請教醫師：
1. 易瘦體質的糖尿病人，是否要特別知會醫師 以選用適當的藥物？
2. 目前用藥 安胰敏+利糖順 是否適合父親的體質？ 醫師換藥 是因為病情有變 還是有其他考量？
3. 愛妥糖是否適合父親體質使用？
以上
感謝不吝釋疑
Paul Chen",請注意糖尿病的控制除了藥物之外，飲食的總量與內容、規律的運動與否、生活型態的調整等等都要一併考量才好。,"['用藥', '生活管理']","用藥, 生活管理",5,第2型糖尿病首選藥物為Metformin，藥物選擇需考量病患體質、症狀及副作用，並與醫師討論；控制糖尿病需結合飲食、運動及生活型態調整。,蕭永薰,2016/5/5,糖尿病患者如何調整飲食總量與內容以改善血糖控制？,飲食
#64530 糖尿病水果,"廖醫師鈞鑑:
請問空腹血糖160的病人,每天吃一杯自打果汁約200cc,可以嗎?
自打水果內容:蘋果,黎子,香蕉,笆樂,鳳梨有那些是禁食的?謝謝!"," 飯前血糖已超過140mg/dL, 可能是糖尿病前期, 故應至新陳代謝科追蹤","['飲食', '血糖管理']","飲食, 血糖管理",3,飯前血糖超140mg/dL可能為糖尿病前期，建議就診追蹤；高糖水果宜分開或減量食用。,廖忠信,2011/8/24,飯前血糖超過140mg/dL是否代表糖尿病前期？應如何進一步追蹤？,血糖管理
#64530 糖尿病水果,"廖醫師鈞鑑:
請問空腹血糖160的病人,每天吃一杯自打果汁約200cc,可以嗎?
自打水果內容:蘋果,黎子,香蕉,笆樂,鳳梨有那些是禁食的?謝謝!"," 以上五種水果:蘋果,黎子,香蕉,笆樂,鳳梨 均為高好吃, 且易血糖增高, 故建議分開或減量服用","['飲食', '血糖管理']","飲食, 血糖管理",3,飯前血糖超140mg/dL可能為糖尿病前期，建議就診追蹤；高糖水果宜分開或減量食用。,廖忠信,2011/8/24,哪些水果容易導致血糖升高？如何正確分量食用以避免血糖波動？,飲食
#3315 長期喝牛奶會不會得糖尿病,我好幾年前到現在都一直喝牛奶，牛奶中好像有天然的胰島素，這會不會影響我的血糖濃度?,喝牛奶不會造成糖尿病，但有糖尿病的人飲食的均衡控制很重要，牛奶中的熱量及營養素成分應列入考慮，適度飲用。,['飲食'],飲食,2,牛奶不致糖尿病，但糖尿病患者需均衡飲食，適量飲用牛奶。,曾芬郁,2001/6/11,糖尿病患者在飲用牛奶時需要注意哪些營養素和熱量的控制？,飲食
#174290 糖尿病患低密度膽固醇數值113需用藥嗎？,"我於健康檢查時發現糖化血色素為6.7，總膽固醇185、低密度膽固醇123，經過三個月運動與飲食控制後再次抽血檢查,糖化血色素降為5.8，總膽固醇183,低密度膽固醇113,接受訊息認為糖尿病患者的低密度膽固醇最好在100以下，請問我需服用降膽固醇藥物嗎？","如果有符合糖尿病診斷,根據國際大規模研究,將低密度膽固醇降至100以下,可以降低心血管疾病發生率,所以健保局才有給付膽固醇藥物使用",['併發症'],併發症,2,降低密度膽固醇至100以下可降低心血管疾病風險，健保給付相關藥物。,李健,2021/10/7,為什麼糖尿病患者需要將低密度膽固醇降至100以下？,併發症
